GY.06.25,GOJALTI-3,GY.06
GY.08.20,GINDAI - 2 Bala,GY.08
IP.03.16,KANCHI,IP.03
HU.03.14,"REHMATABAD, Khill",HU.03
HU.03.13,KHILL Bala,HU.03
GL.02.05,"HOTO, Skardu",GL.02
GL.03.31,DANYORE-14,GL.03
SO.05.13,JIWANI,SO.05
CE.02.11,"Alfalah Town, Lahore",CE.02
CE.05.16,GOLDEN MODEL TOWN,CE.05
GL.01.25,SAKWAR,GL.01
IP.06.10,AKHSS Sherquilla,IP.06
CE.01.01,HAFIZABAD,CE.01
CE.01.02,JALALPUR BHATIAN,CE.01
CE.01.03,KARIMABAD Hafizabad,CE.01
CE.01.04,PINDI BHATIAN,CE.01
CE.01.05,THATI BHELOLPUR,CE.01
CE.02.02,FAISALABAD,CE.02
CE.02.03,GUJRANWALA,CE.02
CE.02.04,LAHORE,CE.02
CE.02.05,LALA MUSA,CE.02
CE.02.06,SHAHDRA,CE.02
CE.02.07,SIALKOT,CE.02
CE.02.10,"KHANPUR KALAY, Sheikupur",CE.02
CE.03.01,ALLAHABAD,CE.03
CE.03.02,BAHAWALPUR,CE.03
CE.03.03,BAKHAR,CE.03
CE.03.04,"KARIMABAD, Multan",CE.03
CE.03.05,KHANPUR,CE.03
CE.03.06,MULTAN,CE.03
CE.03.07,MUMTAZABAD,CE.03
CE.03.08,RAHIMYAR KHAN,CE.03
CE.03.09,SADIQABAD,CE.03
CE.03.10,SAHIWAL,CE.03
CE.03.11,UCH SHARIF,CE.03
CE.03.12,VEHARI,CE.03
CE.04.01,"AMYN COLONY, Peshawar",CE.04
CE.04.02,MARDAN,CE.04
CE.04.03,Peshawar,CE.04
CE.04.04,LALA TOWN,CE.04
CE.04.05,GOLDEN HOMES,CE.04
CE.05.01,ABBOTABAD,CE.05
CE.05.02,ATTOCK,CE.05
CE.05.03,BHURBAN,CE.05
CE.05.04,ISLAMABAD,CE.05
CE.05.05,"KARIMABAD, Islamabad",CE.05
CE.05.06,MUZAFFARABAD,CE.05
CE.05.07,RAWALPINDI,CE.05
CE.05.08,TAXILA,CE.05
CE.05.09,Golden Jubilee,CE.05
CE.05.10,PRINCE VILLA SOCIETY,CE.05
CE.05.11,ALIPUR FARASH,CE.05
CE.05.12,SHAKERYAL,CE.05
CE.06.01,BHAGTANWALA,CE.06
CE.06.02,BHALWAL,CE.06
CE.06.03,BHERA,CE.06
CE.06.04,CHAK NO.47,CE.06
CE.06.05,CHOHA SAIDEN SHAH,CE.06
CE.06.06,HARANPUR,CE.06
CE.06.07,JAWARIAN,CE.06
CE.06.08,KALRA ESTATE,CE.06
CE.06.10,KOT MOMIN,CE.06
CE.06.11,LILYANI,CE.06
CE.06.12,MANDI BAHAUDIN,CE.06
CE.06.13,MIDH RANJHA,CE.06
CE.06.14,NASEERPUR KALAN,CE.06
CE.06.15,PHULARWAN,CE.06
CE.06.16,PIND DADAN KHAN,CE.06
CE.06.17,PINDI SAIDPUR,CE.06
CE.06.18,SARGODHA,CE.06
CE.06.23,KARIMABAD HOUSING SOCIETY,CE.06
GL.01.01,AMYNABAD Jutiyal,GL.01
GL.01.02,AMYNABAD-1 Nomal,GL.01
GL.01.03,AMYNABAD-2 Nomal,GL.01
GL.01.04,BALADUL KARIM,GL.01
GL.01.05,GILGIT Central,GL.01
GL.01.06,HUSSAINABAD,GL.01
GL.01.07,JUTIYAL,GL.01
GL.01.08,KHOMER,GL.01
GL.01.09,MADINATUL KARIM Nomal-4,GL.01
GL.01.10,MUJAHID COLONY,GL.01
GL.01.11,NOOR COLONY,GL.01
GL.01.12,NOORABAD,GL.01
GL.01.17,SADRUDDINABAD Nomal-3,GL.01
GL.01.18,SATELLITE TOWN Jutiyal,GL.01
GL.01.19,SONIKOTE,GL.01
GL.01.20,YASIN COLONY,GL.01
GL.01.21,ZULFIQARABAD,GL.01
GL.01.22,SONIKOT - 2,GL.01
GL.01.23,"PRINCE TOWN, Gilgit",GL.01
GL.01.24,SHAH KARIM HOSTEL,GL.01
GL.01.97,CHILAS,GL.01
GL.01.98,Bunji 2,GL.01
GL.01.99,Bunji 1,GL.01
GL.02.01,GAMBA,GL.02
GL.02.02,"KHAPLU, Baltistan",GL.02
