GY.06,Sultanabad,GY
GY.08,Yasin,GY
IP.03,Gahkuch,IP
HU.03,Chuperson,HU
GL.02,Skardu,GL
GL.03,"Sul, Dan & Oshikhandas",GL
SO.05,Kharadar,SO
CE.02,Lahore,CE
CE.05,Rawalpindi,CE
GL.01,Gilgit,GL
IP.06,Sherquilla,IP
CE.01,Hafizabad,CE
CE.03,Multan & Bahawalpur,CE
CE.04,Peshawar,CE
CE.06,Sargodha,CE
GY.01,Gholaghmuli,GY
GY.02,Gupis,GY
GY.03,Phunder,GY
GY.04,Pingal,GY
GY.05,Silgan,GY
GY.07,Thoi,GY
HU.01,Altit & Karimabad,HU
HU.02,Alyabad & Hyderabad,HU
HU.04,Gujal Bala,HU
HU.05,Gulmit,HU
HU.06,Nasirabad,HU
HU.07,Shimshal,HU
IP.01,Chatoorkhand,IP
IP.02,Damas,IP
IP.04,Immit,IP
IP.05,Ishkoman,IP
IP.07,Singal,IP
LC.01,Arkari,LC
LC.02,Chitral Town,LC
LC.03,Garamchashma,LC
LC.04,Madaklasht,LC
LC.05,Parabeg,LC
LC.06,Shoghore,LC
LC.07,Susum,LC
SO.01,Garden,SO
SO.02,Gulshan,SO
SO.03,Hyderabad,SO
SO.04,Karimabad,SO
SO.06,Tando Turel,SO
SO.07,Thatta & Shah Bunder,SO
UC.01,Bang,UC
UC.02,Booni,UC
UC.03,Brep,UC
UC.04,Khot,UC
UC.05,Laspur,UC
UC.06,Mastuj,UC
UC.07,Mulkhow,UC
UC.08,Rech,UC
UC.09,Central Torkhow,UC
UC.10,Yarkhoon Lasht,UC
